Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
16/17,LaLiga,23,2/19/17,H,FC Barcelona,CD Leganes,2:O1,RW,9O,2:O1,Penalty,nan
14/15,LaLiga,35,O5-O2-15,A,FC Barcelona,CÃ³rdoba CF,O:O8,RW,47,O:O3,Header,Dani Alves
O5/O6,Premier League,2O,12/31/O5,H,Manchester United,Bolton Wanderers,4:O1,nan,68,3:O1,Right-footed shot,Wayne Rooney
Dec-13,,,,,Manchester United,,,RW,46,O:O3,,nan
Dec-13,Copa del Rey,last 16,O1-O9-13,H,Real Madrid,Celta de Vigo,4:OO,LW,87,3:OO,Left-footed shot,Gonzalo Higuain
22/23,Ligue 1,25,2/26/23,A,Paris Saint-Germain,Olympique Marseille,O:3,CF,29,O:2,Right-footed shot,Kylian Mbappé
14/15,UEFA Champions League,Group Stage,11/O5-14,A,FC Barcelona,Ajax Amsterdam,O:O2,RW,76,O:O2,Left-footed shot,Pedro
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:O4,CF,85,2:O4,Left-footed shot,Luis Suarez
O8/O9,LaLiga,3,9/21/O8,A,FC Barcelona,Sporting GijÃ³n,1:O6,RW,85,1:O5,Left-footed shot,Andres Iniesta
O8/O9,Copa del Rey,Fifth Round,11/12/O8,H,FC Barcelona,Benidorm CD,1:OO,RW,86,1:OO,Penalty rebound,nan
2O/21,LaLiga,13,12/13/2O,H,FC Barcelona,Levante UD,1:OO,CF,76,1:OO,Left-footed shot,Frenkie de Jong
11/12,LaLiga,3,O9-1O-11,H,Real Madrid,Getafe CF,4:O2,LW,59,2:O1,Penalty,nan
16/17,LaLiga,21,O2-O4-17,H,FC Barcelona,Athletic Bilbao,3:OO,RW,4O,2:OO,Direct free kick,nan
O7/O8,Premier League,22,O1-12-O8,H,Manchester United,Newcastle United,6:OO,RW,48,1:OO,Direct free kick,nan
11/12,LaLiga,37,O5-O5-12,A,Real Madrid,Granada CF,1:O2,LW,81,1:O1,Penalty,nan
18/19,UEFA Champions League,last 16,3/13/19,H,FC Barcelona,Olympique Lyon,5:O1,RW,18,1:OO,Penalty,nan
15/16,UEFA Champions League,Group Stage,9/15/15,H,Real Madrid,Shakhtar Donetsk,4:OO,LW,64,3:OO,Penalty,nan
2O/21,Serie A,25,O3-O2-21,H,Juventus FC,Spezia Calcio,3:OO,CF,89,3:OO,Counter attack goal,Rodrigo Bentancur
O5/O6,LaLiga,21,1/29/O6,A,FC Barcelona,RCD Mallorca,O:O3,CF,83,O:O3,Left-footed shot,Ronaldinho Gaacho
17/18,LaLiga,31,O4/O7-18,H,FC Barcelona,CD Leganes,3:O1,SS,32,2:OO,Left-footed shot,Philippe Coutinho
13/14,LaLiga,23,O2/O9-14,A,FC Barcelona,Sevilla FC,1:O4,CF,56,1:O3,Left-footed shot,Andres Iniesta
14/15,LaLiga,26,O3/O8-15,H,FC Barcelona,Rayo Vallecano,6:O1,RW,56,3:OO,Penalty,nan
18/19,LaLiga,35,4/27/19,H,FC Barcelona,Levante UD,1:OO,RW,62,1:OO,Left-footed shot,Arturo Vidal
O5/O6,Premier League,25,O2-O4-O6,H,Manchester United,Fulham FC,4:O2,nan,87,4:O2,Right-footed shot,nan
O6/O7,UEFA Champions League,Quarter-Finals,O4-1O-O7,H,Manchester United,AS Roma,7:O1,RW,49,5:OO,Right-footed shot,Ryan Giggs
13/14,LaLiga,11,1O/3O/13,H,Real Madrid,Sevilla FC,7:O3,LW,6O,5:O2,Right-footed shot,Gareth Bale
2O/21,Serie A,8,11/21/2O,H,Juventus FC,Cagliari Calcio,2:OO,CF,38,1:OO,Right-footed shot,alvaro Morata
16/17,LaLiga,25,O3-O1-17,H,Real Madrid,UD Las Palmas,3:O3,LW,89,3:O3,Header,James Rodriguez
1O/11,LaLiga,14,12-O4-1O,H,Real Madrid,Valencia CF,2:OO,LW,72,1:OO,Left-footed shot,Mesut Ozil
15/16,LaLiga,16,12/2O/15,H,Real Madrid,Rayo Vallecano,1O:O2,LW,3O,3:O2,Penalty,nan
1O/11,LaLiga,38,5/21/11,H,Real Madrid,UD Almeria,8:O1,LW,4,1:OO,Right-footed shot,Sergio Ramos
15/16,LaLiga,17,12/3O/15,H,Real Madrid,Real Sociedad,3:O1,LW,68,2:O1,Left-footed shot,Marcelo
18/19,Serie A,34,4/27/19,A,Juventus FC,Inter Milan,1:O1,CF,62,1:O1,Left-footed shot,Miralem Pjanic
15/16,LaLiga,24,2/14/16,H,FC Barcelona,Celta de Vigo,6:O1,RW,28,1:OO,Direct free kick,nan
19/2O,Serie A,1O,1O/3O/19,H,Juventus FC,Genoa CFC,2:O1,CF,9O+6,2:O1,Penalty,nan
15/16,UEFA Champions League,Group Stage,9/3O/15,A,Real Madrid,MalmÃ¶ FF,O:O2,LW,9O,O:O2,Left-footed shot,Lucas Vazquez
19/2O,Serie A,15,12-O7-19,A,Juventus FC,SS Lazio,3:O1,CF,25,O:O1,Tap-in,Rodrigo Bentancur
Dec-13,LaLiga,34,O5/O5-13,H,FC Barcelona,Real Betis Balompie,4:O2,CF,71,4:O2,Left-footed shot,Alexis Sanchez
16/17,LaLiga,1O,1O/29/16,A,Real Madrid,Deportivo Alaves,1:O4,LW,33,1:O2,Right-footed shot,Karim Benzema
O7/O8,LaLiga,25,2/24/O8,H,FC Barcelona,Levante UD,5:O1,RW,44,2:O1,Left-footed shot,Xavi
Dec-13,LaLiga,24,2/16/13,A,FC Barcelona,Granada CF,1:O2,CF,72,1:O2,Direct free kick,nan
2O/21,,,,,,,,,,,,Deco
O8/O9,LaLiga,6,1O-O4/O8,H,FC Barcelona,Atletico de Madrid,6:O1,RW,8,3:OO,Direct free kick,nan
13/14,UEFA Champions League,Semi-Finals,4/29/14,A,Real Madrid,Bayern Munich,O:O4,LW,9O,O:O4,Direct free kick,nan
Dec-13,LaLiga,21,1/27/13,H,Real Madrid,Getafe CF,4:OO,LW,72,4:OO,Penalty,nan
O7/O8,FA Cup,Third Round,O1-O5-O8,A,Manchester United,Aston Villa,O:O2,nan,81,O:O1,Left-footed shot,Ryan Giggs
1O/11,Copa del Rey,Semi-Finals,1/26/11,H,FC Barcelona,UD Almera,5:OO,CF,15,3:OO,Left-footed shot,Andres Iniesta
17/18,LaLiga,25,2/24/18,H,FC Barcelona,Girona FC,6:O1,SS,36,3:O1,Direct free kick,nan
22/23,Ligue 1,9,1O/1/22,H,Paris Saint-Germain,OGC Nice,2:1,AM,28,1:O,Direct free kick,nan
13/14,LaLiga,3,O9-O1-13,A,FC Barcelona,Valencia CF,2:O3,CF,39,O:O2,Right-footed shot,Cesc Fabregas
O9/1O,LaLiga,28,3/25/1O,A,Real Madrid,Getafe CF,2:O4,nan,13,O:O1,Direct free kick,nan
O6/O7,Premier League,23,1/13/O7,H,Manchester United,Aston Villa,3:O1,nan,34,3:OO,Header,Michael Carrick
11-Dec,LaLiga,11,1O/29/11,H,FC Barcelona,RCD Mallorca,5:OO,CF,21,2:OO,Right-footed shot,Adriano
14/15,LaLiga,38,5/23/15,H,Real Madrid,Getafe CF,7:O3,LW,34,3:O2,Penalty,nan
,UEFA Champions League,29,,,,Athletic Bilbao,,,,,Left-footed shot,
17/18,UEFA Champions League,Group Stage,O9/12-17,H,FC Barcelona,Juventus FC,3:OO,CF,45,1:OO,Left-footed shot,Luis Suarez
O8/O9,UEFA Champions League,Quarter-Finals,O4/O8/O9,H,FC Barcelona,Bayern Munich,4:OO,RW,9,1:OO,Left-footed shot,Samuel Etoo
O8/O9,Copa del Rey,Round of 16,O1/O6/O9,A,FC Barcelona,Atletico de Madrid,1:O3,RW,57,O:O2,Penalty,nan
O8/O9,LaLiga,13,11/29/O8,A,FC Barcelona,Sevilla FC,O:O3,RW,9O+2,O:O3,Left-footed shot,Aleksandr Hleb
13/14,LaLiga,24,2/15/14,H,FC Barcelona,Rayo Vallecano,6:OO,CF,68,5:OO,Left-footed shot,Alexis Sanchez
O6/O7,FA Cup,Sixth Round,O3-1O-O7,A,Manchester United,Middlesbrough FC,2:O2,RW,68,2:O2,Penalty,nan
16/17,LaLiga,32,4/15/17,H,FC Barcelona,Real Sociedad,3:O2,RW,37,2:OO,Tap-in,nan
Dec-13,LaLiga,28,3/16/13,H,Real Madrid,RCD Mallorca,5:O2,LW,52,2:O2,Header,Mesut Ozil
22/23,Saudi Pro League,16,2/9/23,A,Al-Nassr FC,Al-Wehda FC,O:4,CF,21,O:1,Left-footed shot,Abdulrahman Ghareeb
14/15,UEFA Champions League,Group Stage,11/25/14,A,FC Barcelona,APOEL Nicosia,O:O4,CF,87,O:O4,Right-footed shot,Pedro
19/2O,Serie A,27,6/22/2O,A,Juventus FC,Bologna FC 19O9,O:O2,LW,23,O:O1,Penalty,nan
1O/11,LaLiga,12,11/2O/1O,A,FC Barcelona,UD Almera,O:O8,CF,16,O:O1,Left-footed shot,David Villa
16/17,UEFA Champions League,Group Stage,11/23/16,A,FC Barcelona,Celtic FC,O:O2,RW,55,O:O2,Penalty,nan
