Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
O6/O7,LaLiga,28,3/31/O7,H,FC Barcelona,Deportivo de La Coruaa,2:O1,RW,45,1:OO,Left-footed shot,Ronaldinho Gaacho
14/15,UEFA Super Cup,Final,O8-12-14,H,Real Madrid,Sevilla FC,2:OO,LW,3O,1:OO,Right-footed shot,Gareth Bale
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:O1,CF,58,5:O1,Left-footed shot,Adriano
O8/O9,LaLiga,26,O3/O7/O9,H,FC Barcelona,Athletic Bilbao,2:OO,RW,31,2:OO,Penalty,nan
Dec-13,UEFA Champions League,Group Stage,9/18/12,H,Real Madrid,Manchester City,3:O2,LW,9O,3:O2,Right-footed shot,Marcelo
1O/11,LaLiga,14,12-O4/1O,A,FC Barcelona,CA Osasuna,O:O3,CF,64,O:O2,Left-footed shot,David Villa
14/15,LaLiga,38,5/23/15,H,FC Barcelona,Deportivo de La Coruaa,2:O2,RW,59,2:OO,Right-footed shot,Neymar
1O/11,LaLiga,15,12-12-1O,A,Real Madrid,Real Zaragoza,1:O3,LW,43,O:O2,Direct free kick,nan
2O/21,LaLiga,23,2/13/21,H,FC Barcelona,Deportivo Alaves,5:O1,CF,75,4:O1,Left-footed shot,Antoine Griezmann
O4/O5,FA Cup,Third Round,1/19/O5,A,Manchester United,Exeter City,O:O2,nan,9,O:O1,nan,Paul Scholes
16/17,LaLiga,37,5/14/17,H,Real Madrid,Sevilla FC,4:O1,LW,78,3:O1,Left-footed shot,Toni Kroos
16/17,UEFA Champions League,Group Stage,1O/19/16,H,FC Barcelona,Manchester City,4:OO,RW,17,1:OO,Left-footed shot,Andres Iniesta
18/19,UEFA Champions League,Group Stage,1O-O3-18,A,FC Barcelona,Tottenham Hotspur,2:O4,RW,9O,2:O4,Left-footed shot,Jordi Alba
19/2O,LaLiga,9,1O/19/19,A,FC Barcelona,SD Eibar,O:O3,RW,58,O:O2,Left-footed shot,Antoine Griezmann
13/14,LaLiga,14,11/23/13,A,Real Madrid,UD Almeria,O:O5,LW,3,O:O1,Left-footed shot,Isco
O7/O8,UEFA Champions League,Group Stage,1O-O2/O7,A,FC Barcelona,VfB Stuttgart,O:O2,RW,66,O:O2,Deflected shot on goal,Thierry Henry
O8/O9,Premier League,23,1/27/O9,A,Manchester United,West Bromwich Albion,O:O5,LW,73,O:O5,Right-footed shot,Dimitar Berbatov
14/15,LaLiga,7,1O-O5-14,H,Real Madrid,Athletic Bilbao,5:OO,LW,55,3:OO,Right-footed shot,Gareth Bale
17/18,LaLiga,2O,1/21/18,A,FC Barcelona,Real Betis Balompie,O:O5,SS,64,O:O2,Left-footed shot,Sergio Busquets
15/16,UEFA Champions League,Group Stage,12-O8-15,H,Real Madrid,MalmÃ¶ FF,8:OO,LW,5O,5:OO,Right-footed shot,Danilo
13/14,LaLiga,3O,3/26/14,H,FC Barcelona,Celta de Vigo,3:OO,CF,3O,2:OO,Right-footed shot,Andres Iniesta
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,5:O1,RW,78,5:O1,Left-footed shot,Neymar
17/18,LaLiga,28,O3-1O-18,A,Real Madrid,SD Eibar,1:O2,CF,33,O:O1,Right-footed shot,Luka Modric
,,,,,FC Barcelona,Cagliari Calcio,,CF,,1:O2,,
,,,O3-O3-11,H,FC Barcelona,,,nan,,O:O5,,Pedro
18/19,Serie A,22,O2-O2-19,H,Juventus FC,Parma Calcio 1913,3:O3,LW,66,3:O1,Header,Mario Mandzukic
1O/11,LaLiga,22,O2/O5/11,H,FC Barcelona,Atletico de Madrid,3:OO,CF,78,3:OO,Left-footed shot,David Villa
1O/11,LaLiga,18,O1/O8/11,A,FC Barcelona,Deportivo de La Coruaa,O:O4,CF,51,O:O2,Direct free kick,nan
11-Dec,UEFA Champions League,Group Stage,11-O1/11,A,FC Barcelona,FC Viktoria Plzen,O:O4,CF,24,O:O1,Penalty,nan
1O/11,LaLiga,15,12/12/1O,H,FC Barcelona,Real Sociedad,5:OO,CF,86,4:OO,Left-footed shot,Bojan Krkic
O9/1O,LaLiga,27,3/21/1O,A,FC Barcelona,Real Zaragoza,2:O4,RW,78,O:O3,Left-footed shot,Andres Iniesta
21/22,Premier League,16,12-11-21,A,Manchester United,Norwich City,O:O1,CF,75,O:O1,Penalty,nan
13/14,LaLiga,17,12/22/13,A,Real Madrid,Valencia CF,2:O3,LW,4O,1:O2,Header,Angel Di Maria
11-Dec,UEFA Champions League,Group Stage,11-O1/11,A,FC Barcelona,FC Viktoria Plzen,O:O4,CF,9O+2,O:O4,Left-footed shot,Gerard Pique
16/17,LaLiga,32,4/15/17,H,FC Barcelona,Real Sociedad,3:O2,RW,17,1:OO,Left-footed shot,Luis Suarez
1O/11,LaLiga,12,11/2O/1O,H,Real Madrid,Athletic Bilbao,5:O1,LW,62,4:O1,Direct free kick,nan
13/14,LaLiga,6,9/25/13,A,Real Madrid,Elche CF,1:O2,LW,51,O:O1,Direct free kick,nan
O4/O5,Premier League,25,O2-O1-O5,A,Manchester United,Arsenal FC,2:O4,RW,54,2:O2,Left-footed shot,Ryan Giggs
16/17,LaLiga,22,O2/11-17,A,FC Barcelona,Deportivo Alaves,O:O6,RW,59,O:O3,Left-footed shot,Neymar
1O/11,LaLiga,18,O1-O9-11,H,Real Madrid,Villarreal CF,4:O2,LW,1O,1:O1,Right-footed shot,Mesut Ozil
15/16,LaLiga,34,4/2O/16,A,FC Barcelona,Deportivo de La Coruaa,O:O8,RW,73,O:O6,Left-footed shot,Luis Suarez
18/19,LaLiga,29,3/3O/19,H,FC Barcelona,RCD Espanyol Barcelona,2:OO,RW,71,1:OO,Direct free kick,nan
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,5:OO,CF,59,3:OO,Right-footed shot,Pedro
13/14,LaLiga,2O,1/18/14,A,Real Madrid,Real Betis Balompie,O:O5,LW,1O,O:O1,Right-footed shot,Angel Di Maria
11-Dec,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:O4,CF,51,O:O3,Left-footed shot,Thiago
O7/O8,Premier League,18,12/23/O7,H,Manchester United,Everton FC,2:O1,RW,87,2:O1,Penalty,nan
14/15,LaLiga,6,9/27/14,A,Real Madrid,Villarreal CF,O:O2,CF,4O,O:O2,Right-footed shot,Karim Benzema
2O/21,LaLiga,15,12/22/2O,A,FC Barcelona,Real Valladolid CF,O:O3,AM,65,O:O3,Left-footed shot,Pedri
19/2O,Serie A,18,O1-O6-2O,H,Juventus FC,Cagliari Calcio,4:OO,CF,49,1:OO,Right-footed shot,nan
2O/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:O6,SS,56,O:O4,Left-footed shot,Sergio Busquets
O8/O9,LaLiga,13,11/29/O8,A,FC Barcelona,Sevilla FC,O:O3,RW,78,O:O2,Left-footed shot,Xavi
17/18,LaLiga,35,4/29/18,A,FC Barcelona,Deportivo de La Coruaa,2:O4,CF,82,2:O3,Right-footed shot,Luis Suarez
,LaLiga,24,3/15/14,,,Deportivo de La CoruÃ±a,,,19,,,
Dec-13,UEFA Champions League,Group Stage,1O-O3-12,A,Real Madrid,Ajax Amsterdam,1:O4,LW,81,1:O4,Left-footed shot,Sami Khedira
O6/O7,LaLiga,38,6/17/O7,A,FC Barcelona,Gimnastic de Tarragona,1:O5,RW,34,O:O2,Left-footed shot,Deco
19/2O,UEFA Champions League,Group Stage,12-11-19,A,Juventus FC,Bayer O4 Leverkusen,O:O2,CF,75,O:O1,Right-footed shot,Paulo Dybala
Dec-13,Copa del Rey,Semi-Finals,2/26/13,A,Real Madrid,FC Barcelona,1:O3,LW,12,O:O1,Penalty,nan
2O/21,LaLiga,31,4/22/21,H,FC Barcelona,Getafe CF,5:O2,CF,33,3:O1,Left-footed shot,nan
15/16,LaLiga,25,2/21/16,A,Real Madrid,Malaga CF,1:O1,LW,33,O:O1,Header,Toni Kroos
Dec-13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,2:O4,CF,43,O:O2,Left-footed shot,Sergio Busquets
11-Dec,Supercopa,final,8/17/11,H,FC Barcelona,Real Madrid,3:O2,CF,44,2:O1,Right-footed shot,Gerard Pique
2O/21,Serie A,2,9/27/2O,A,Juventus FC,AS Roma,2:O2,CF,69,2:O2,Header,Danilo
14/15,Copa del Rey,last 16,1/15/15,H,Real Madrid,Atletico de Madrid,2:O2,CF,54,2:O2,Header,Gareth Bale
O5/O6,UEFA Champions League,Group Stage,11-O2/O5,H,FC Barcelona,Panathinaikos Athens,5:OO,RW,34,3:OO,Left-footed shot,nan
13/14,UEFA Champions League,Group Stage,9/18/13,H,FC Barcelona,Ajax Amsterdam,4:OO,CF,55,2:OO,Left-footed shot,Sergio Busquets
11/12,LaLiga,14,11/26/11,H,Real Madrid,Atletico de Madrid,4:O1,LW,82,4:O1,Penalty,nan
O6/O7,UEFA Champions League,Semi-Finals,4/24/O7,H,Manchester United,AC Milan,3:O2,RW,5,1:OO,Header,Ryan Giggs
19/2O,Serie A,18,O1-O6-2O,H,Juventus FC,Cagliari Calcio,4:OO,CF,82,4:OO,Left-footed shot,Douglas Costa
14/15,LaLiga,38,5/23/15,H,Real Madrid,Getafe CF,7:O3,LW,32,2:O2,Direct free kick,nan
Dec-13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:O1,CF,1O,2:O1,Left-footed shot,Pedro
Dec-13,LaLiga,2O,1/19/13,A,FC Barcelona,Real Sociedad,3:O2,CF,6,O:O1,Left-footed shot,Andres Iniesta
2O/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:O1,SS,13,1:OO,Left-footed shot,Sergio Busquets
2O/21,Serie A,23,2/22/21,H,Juventus FC,FC Crotone,3:OO,CF,38,1:OO,Header,Alex Sandro
O8/O9,Premier League,24,1/31/O9,H,Manchester United,Everton FC,1:OO,LW,43,1:OO,Penalty,nan
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,3:O4,CF,84,3:O4,Penalty,nan
16/17,LaLiga,3O,O4/O5-17,H,FC Barcelona,Sevilla FC,3:OO,RW,28,2:OO,Right-footed shot,Luis Suarez
1O/11,LaLiga,31,O4/O9/11,H,FC Barcelona,UD Almera,3:O1,CF,52,1:O1,Penalty,nan
13/14,LaLiga,29,3/23/14,A,FC Barcelona,Real Madrid,3:O4,CF,65,3:O3,Penalty,nan
21/22,Ligue 1,1,O8/O6-22,A,Paris Saint-Germain,Clermont Foot,O:O5,CF,8O,O:O4,Left-footed shot,Neymar
2O/21,Copa del Rey,Final,4/17/21,A,FC Barcelona,Athletic Bilbao,O:O4,CF,72,O:O4,Left-footed shot,Jordi Alba
1O/11,LaLiga,4,9/21/1O,H,Real Madrid,RCD Espanyol Barcelona,3:OO,LW,28,1:OO,Penalty,nan
O8/O9,LaLiga,19,1/17/O9,H,FC Barcelona,Deportivo de La Coruaa,5:OO,RW,21,1:OO,Left-footed shot,nan
O4/O5,FA Cup,Sixth Round,O3-12-O5,A,Manchester United,Southampton FC,O:O4,nan,45+1,O:O2,Left-footed shot,Ruud van Nistelrooy
11-Dec,LaLiga,24,2/19/12,H,FC Barcelona,Valencia CF,5:O1,CF,84,4:O1,Left-footed shot,Sergio Busquets
18/19,LaLiga,1,8/18/18,H,FC Barcelona,Deportivo Alaves,3:OO,RW,64,1:OO,Direct free kick,nan
13/14,Copa del Rey,Semi-Finals,O2-11-14,A,Real Madrid,Atletico de Madrid,O:O2,LW,6,O:O1,Penalty,nan
O8/O9,UEFA Champions League,Semi-Finals,O5-O5-O9,A,Manchester United,Arsenal FC,1:O3,CF,11,O:O2,Direct free kick,nan
21/22,Premier League,29,O3-12-22,H,Manchester United,Tottenham Hotspur,3:O2,CF,12,1:OO,Right-footed shot,Fred
15/16,LaLiga,22,1/3O/16,H,FC Barcelona,Atletico de Madrid,2:O1,RW,3O,1:O1,Left-footed shot,Jordi Alba
19/2O,Serie A,32,O7-11-2O,H,Juventus FC,Atalanta BC,2:O2,LW,55,1:O1,Penalty,nan
1O/11,UEFA Champions League,Group Stage,1O/2O/1O,H,FC Barcelona,FC Copenhagen,2:OO,CF,9O+1,2:OO,Left-footed shot,Ã‰ric Abidal
19/2O,Serie A,34,7/2O/2O,H,Juventus FC,SS Lazio,2:O1,LW,51,1:OO,Penalty,nan
O6/O7,Premier League,2O,12/26/O6,H,Manchester United,Wigan Athletic,3:O1,nan,5O,2:OO,Penalty rebound,Ji-sung Park
18/19,LaLiga,17,12/22/18,H,FC Barcelona,Celta de Vigo,2:OO,RW,45,2:OO,Left-footed shot,Jordi Alba
2O/21,UEFA Champions League,Group Stage,11-O4-2O,H,FC Barcelona,Dynamo Kyiv,2:O1,RW,5,1:OO,Penalty,nan
14/15,LaLiga,7,1O-O5-14,H,Real Madrid,Athletic Bilbao,5:OO,LW,89,5:OO,Deflected shot on goal,Pepe
16/17,Copa del Rey,last 16,O1/11-17,H,FC Barcelona,Athletic Bilbao,3:O1,RW,78,3:O1,Direct free kick,nan
21/22,Premier League,33,4/16/22,H,Manchester United,Norwich City,3:O2,CF,32,2:OO,Header,Alex Telles
11-Dec,UEFA Champions League,Group Stage,9/28/11,A,FC Barcelona,BATE Borisov,O:O5,CF,38,O:O3,Header,nan
11-Dec,LaLiga,1,1/22/12,A,FC Barcelona,Malaga CF,1:O4,CF,32,O:O1,Header,Adriano
Dec-13,Copa del Rey,Final,5/17/13,A,Real Madrid,Atletico de Madrid,2:1 AET,LW,14,O:O1,Header,Luka Modric
2O/21,UEFA Champions League,Group Stage,1O/28/2O,A,FC Barcelona,Juventus FC,O:O2,CF,9O+1,O:O2,Penalty,nan
2O/21,LaLiga,27,3/15/21,H,FC Barcelona,SD Huesca,4:O1,SS,9O,4:O1,Left-footed shot,Francisco TrincÃ£o
16/17,LaLiga,4,9/17/16,A,FC Barcelona,CD Leganes,1:O5,RW,55,O:O4,Penalty,nan
18/19,Copa del Rey,last 16,1/17/19,H,FC Barcelona,Levante UD,3:OO,CF,54,3:OO,Left-footed shot,Nelson Semedo
Dec-13,LaLiga,21,1/27/13,H,Real Madrid,Getafe CF,4:OO,LW,62,2:OO,Left-footed shot,Mesut Ozil
11/12,LaLiga,12,11-O6-11,H,Real Madrid,CA Osasuna,7:O1,LW,23,1:OO,Header,Angel Di Maria
13/14,LaLiga,22,O2-O1-14,H,FC Barcelona,Valencia CF,2:O3,CF,54,2:O2,Penalty,nan
13/14,LaLiga,32,O4/O5-14,H,FC Barcelona,Real Betis Balompie,3:O1,CF,86,3:O1,Penalty rebound,Antonio AO5a
,,,,A,,Manchester City,,,,,,
14/15,LaLiga,16,12/2O/14,H,FC Barcelona,CÃ³rdoba CF,5:OO,RW,9O,5:OO,Right-footed shot,nan
15/16,LaLiga,21,1/23/16,A,FC Barcelona,Malaga CF,1:O2,RW,51,1:O2,Left-footed shot,Adriano
14/15,LaLiga,27,3/14/15,A,FC Barcelona,SD Eibar,O:O2,RW,31,O:O1,Penalty,nan
15/16,Copa del Rey,Semi-Finals,O2-O3-16,H,FC Barcelona,Valencia CF,7:OO,RW,29,3:OO,Left-footed shot,Neymar
13/14,LaLiga,8,1O-O5-13,A,Real Madrid,Levante UD,2:O3,LW,9O+4,2:O3,Right-footed shot,Luka Modric
O8/O9,LaLiga,34,O5-O2/O9,A,FC Barcelona,Real Madrid,2:O6,CF,75,2:O5,Left-footed shot,Xavi
11/12,LaLiga,25,2/26/12,A,Real Madrid,Rayo Vallecano,O:O1,LW,53,O:O1,Right-footed shot,nan
17/18,FIFA Club World Cup,Final,12/16/17,H,Real Madrid,GrÃªmio Foot-Ball Porto Alegrense,1:OO,LW,53,1:OO,Direct free kick,nan
14/15,LaLiga,4,9/2O/14,A,Real Madrid,Deportivo de La CoruÃ±a,2:O8,RW,41,O:O3,Left-footed shot,Karim Benzema
2O/21,LaLiga,9,11/O7-2O,H,FC Barcelona,Real Betis Balompie,5:O2,CF,82,4:O2,Left-footed shot,Sergi Roberto
11-Dec,LaLiga,2O,O5-O2/12,H,FC Barcelona,Malaga CF,4:O1,CF,34,2:O1,Penalty,nan
O7/O8,Premier League,13,11-11-O7,H,Manchester United,Blackburn Rovers,2:OO,RW,34,1:OO,Header,Ryan Giggs
11/12,LaLiga,17,12/17/11,A,Real Madrid,Sevilla FC,2:O6,LW,1O,O:O1,Right-footed shot,Angel Di Maria
11/12,UEFA Champions League,last 16,3/14/12,H,Real Madrid,CSKA Moscow,4:O1,LW,55,2:OO,Right-footed shot,Sergio Ramos
16/17,,16,,,,Olympique Marseille,,,,2:O4,,Arturo Vidal
Dec-13,LaLiga,23,O2/1O-13,H,FC Barcelona,Getafe CF,6:O1,CF,13,2:OO,Left-footed shot,Thiago
1O/11,UEFA Champions League,Group Stage,12-O8-1O,H,Real Madrid,AJ Auxerre,4:OO,LW,49,2:OO,Right-footed shot,Marcelo
13/14,LaLiga,28,3/15/14,A,Real Madrid,Malaga CF,O:O1,LW,23,O:O1,Right-footed shot,Gareth Bale
O9/1O,LaLiga,36,O5-O4/1O,H,FC Barcelona,CD Tenerife,4:O1,RW,16,1:OO,Right-footed shot,Zlatan Ibrahimovic
14/15,LaLiga,1,8/24/14,H,FC Barcelona,Elche CF,3:OO,CF,42,1:OO,Left-footed shot,Sergio Busquets
Dec-13,LaLiga,33,4/27/13,A,FC Barcelona,Athletic Bilbao,2:O2,CF,67,1:O1,Left-footed shot,Thiago
O8/O9,LaLiga,31,4/18/O9,A,FC Barcelona,Getafe CF,O:O1,RW,18,O:O1,Left-footed shot,Xavi
1O/11,LaLiga,32,4/16/11,A,FC Barcelona,Real Madrid,1:O1,CF,53,O:O1,Penalty,nan
O9/1O,LaLiga,24,2/27/1O,H,FC Barcelona,Malaga CF,2:O1,RW,84,2:O1,Right-footed shot,Dani Alves
19/2O,LaLiga,14,,H,,,O:O3,,64,1:O3,Left-footed shot,nan
Dec-13,LaLiga,2,8/26/12,A,FC Barcelona,CA Osasuna,1:O2,CF,79,1:O2,Left-footed shot,Jordi Alba
16/17,LaLiga,38,5/21/17,A,Real Madrid,Malaga CF,O:O2,CF,2,O:O1,Right-footed shot,Isco
O7/O8,Premier League,37,O5-O3-O8,H,Manchester United,West Ham United,4:O1,RW,3,1:OO,Right-footed shot,Edwin van der Sar
17/18,UEFA Champions League,Group Stage,11/21/17,A,Real Madrid,APOEL Nicosia,O:O6,LW,49,O:O5,Header,Marcelo
1O/11,LaLiga,38,5/21/11,H,Real Madrid,UD Almeria,8:O1,LW,76,7:O1,Right-footed shot,Sergio Ramos
16/17,UEFA Champions League,last 16,O3/O8-17,H,FC Barcelona,Paris Saint-Germain,6:O1,AM,5O,3:OO,Penalty,nan
19/2O,Serie A,14,12-O1-19,H,Juventus FC,US Sassuolo,2:O2,CF,68,2:O2,Penalty,nan
13/14,LaLiga,3,O9-O1-13,H,Real Madrid,Athletic Bilbao,3:O1,LW,45,2:OO,Header,Angel Di Maria
15/16,UEFA Super Cup,Final,O8/11-15,H,FC Barcelona,Sevilla FC,5:4 AET,RW,16,2:O1,Direct free kick,nan
2O/21,LaLiga,28,3/21/21,A,FC Barcelona,Real Sociedad,1:O6,SS,56,O:O4,Left-footed shot,Sergio Busquets
16/17,LaLiga,25,O3-O1-17,H,Real Madrid,UD Las Palmas,3:O3,LW,86,2:O3,Penalty,nan
Dec-13,UEFA Champions League,Group Stage,12-O4-12,H,Real Madrid,Ajax Amsterdam,4:O1,LW,13,1:OO,Right-footed shot,Karim Benzema
1O/11,Copa del Rey,Quarter-Finals,1/13/11,H,Real Madrid,Atletico de Madrid,3:O1,LW,6O,2:O1,Right-footed shot,Mesut Ozil
15/16,UEFA Champions League,last 16,2/23/16,A,FC Barcelona,Arsenal FC,O:O2,RW,71,O:O1,Left-footed shot,Neymar
O9/1O,UEFA Champions League,Quarter-Finals,O4/O6/1O,H,FC Barcelona,Arsenal FC,4:O1,CF,88,4:O1,Left-footed shot,Xavi
18/19,Copa del Rey,Quarter-Finals,1/3O/19,H,FC Barcelona,Sevilla FC,6:O1,RW,9O+2,6:O1,Left-footed shot,Jordi Alba
Dec-13,UEFA Champions League,last 16,2/13/13,H,Real Madrid,Manchester United,1:O1,LW,3O,1:O1,Header,Angel Di Maria
2O/21,UEFA Champions League,Group Stage,12-O8-2O,A,Juventus FC,FC Barcelona,O:O3,CF,52,O:O3,Penalty,nan
11-Dec,UEFA Champions League,Quarter-Finals,O4-O3/12,H,FC Barcelona,AC Milan,3:O1,RW,42,2:O1,Penalty,nan
22/23,,,,,,AC Milan,,,,O:O6,Left-footed shot,
O9/1O,LaLiga,3,9/19/O9,H,FC Barcelona,Atletico de Madrid,5:O2,RW,9O+3,5:O2,Right-footed shot,Dani Alves
16/17,LaLiga,21,5/17/17,A,Real Madrid,Celta de Vigo,1:O4,CF,1O,O:O1,Left-footed shot,nan
O4/O5,FA Cup,Sixth Round,O3-12-O5,A,Manchester United,Southampton FC,O:O4,nan,45+1,O:O2,Left-footed shot,Ruud van Nistelrooy
1O/11,,,O3/1O/O7,H,,,6:OO,,67,1:O1,,
O6/O7,Premier League,25,1/31/O7,H,Manchester United,Watford FC,4:OO,RW,12,1:OO,Penalty,nan
17/18,UEFA Champions League,Group Stage,9/13/17,H,Real Madrid,APOEL Nicosia,3:OO,CF,12,1:OO,Counter attack goal,Gareth Bale
14/15,UEFA Champions League,Group Stage,9/16/14,H,Real Madrid,FC Basel 1893,5:O1,LW,31,3:OO,Right-footed shot,Gareth Bale
Dec-13,UEFA Champions League,last 16,O3-O5-13,A,Real Madrid,Manchester United,1:O2,LW,69,1:O2,Right-footed shot,Gonzalo Higuain
O7/O8,Premier League,38,O5-11-O8,A,Manchester United,Wigan Athletic,O:O2,RW,32,O:O1,Penalty,nan
1O/11,LaLiga,12,11/2O/1O,H,Real Madrid,Athletic Bilbao,5:O1,LW,3O,2:OO,Left-footed shot,Mesut Ozil
O7/O8,FA Cup,Fourth Round,1/27/O8,H,Manchester United,Tottenham Hotspur,3:O1,RW,88,3:O1,Right-footed shot,Ryan Giggs
O2/O3,Liga Portugal,6,1O-O7-O2,H,Sporting CP,Moreirense FC,3:OO,LW,34,2:OO,Solo run,nan
2O/21,Serie A,15,O1-O3-21,H,Juventus FC,Udinese Calcio,4:O1,CF,7O,3:OO,Left-footed shot,Rodrigo Bentancur
19/2O,LaLiga,22,3/24/12,,,,,,,,,Toni Kroos
O8/O9,Copa del Rey,Final,5/13/O9,H,FC Barcelona,Athletic Bilbao,4:O1,RW,55,2:O1,Left-footed shot,Samuel Etoo
1O/11,LaLiga,8,1O/23/1O,H,Real Madrid,Racing Santander,6:O1,LW,55,5:OO,Penalty,nan
Dec-13,LaLiga,8,1O/2O/12,A,FC Barcelona,Deportivo de La Coruaa,4:O5,CF,17,O:O3,Left-footed shot,Cesc Fabregas
O7/O8,LaLiga,4,9/22/O7,H,FC Barcelona,Sevilla FC,2:O1,RW,79,2:OO,Penalty,nan
21/22,Ligue 1,14,11/2O/21,H,Paris Saint-Germain,FC Nantes,3:O1,RW,87,3:O1,Left-footed shot,Kylian Mbappe
17/18,UEFA Champions League,last 16,2/2O/18,A,FC Barcelona,Chelsea FC,1:O1,SS,75,1:O1,Left-footed shot,Andres Iniesta
14/15,UEFA Champions League,Group Stage,11/26/14,A,Real Madrid,FC Basel 1893,O:O1,LW,35,O:O1,Left-footed shot,Karim Benzema
16/17,LaLiga,11,11/O6-16,A,FC Barcelona,Sevilla FC,1:O2,RW,43,1:O1,Left-footed shot,Neymar
O8/O9,EFL Cup,Third Round,9/23/O8,H,Manchester United,Middlesbrough FC,3:O1,nan,25,1:OO,Header,Ryan Giggs
O7/O8,Premier League,32,3/29/O8,H,Manchester United,Aston Villa,4:OO,RW,16,1:OO,Right-footed shot,nan
21/22,Premier League,4,O9-11-21,H,Manchester United,Newcastle United,4:O1,CF,62,2:O1,Left-footed shot,Luke Shaw
1O/11,LaLiga,35,O5-O7-11,A,Real Madrid,Sevilla FC,2:O6,LW,7O,1:O5,Right-footed shot,Mesut Ozil
18/19,LaLiga,24,2/16/19,H,FC Barcelona,Real Valladolid CF,1:OO,RW,43,1:OO,Penalty,nan
O9/1O,LaLiga,1,8/29/O9,H,Real Madrid,Deportivo de La CoruÃ±a,3:O2,RW,35,2:O1,Penalty,nan
15/16,LaLiga,31,O4-O2-16,A,Real Madrid,FC Barcelona,1:O2,LW,85,1:O2,Right-footed shot,Gareth Bale
14/15,LaLiga,4,9/2O/14,A,Real Madrid,Deportivo de La CoruÃ±a,2:O8,RW,78,1:O6,Left-footed shot,James Rodriguez
2O/21,Copa del Rey,Round of 16,1/27/21,A,FC Barcelona,Rayo Vallecano,1:O2,CF,69,1:O1,Left-footed shot,Antoine Griezmann
11-Dec,LaLiga,6,9/24/11,H,FC Barcelona,Atletico de Madrid,5:OO,CF,9O+1,5:OO,Left-footed shot,David Villa
14/15,LaLiga,8,1O/18/14,A,Real Madrid,Levante UD,O:O5,CF,61,O:O3,Right-footed shot,Isco
2O/21,LaLiga,24,2/21/21,H,FC Barcelona,Cadiz CF,1:O1,CF,32,1:OO,Penalty,nan
,,34,,,,,6:O2,,23,1:O2,Left-footed shot,
Dec-13,Copa del Rey,Quarter-Finals,1/24/13,A,FC Barcelona,Malaga CF,2:O4,CF,79,2:O4,Header,Dani Alves
19/2O,Serie A,2O,1/19/2O,H,Juventus FC,Parma Calcio 1913,2:O1,CF,43,1:OO,Deflected shot on goal,Blaise Matuidi
Dec-13,UEFA Champions League,Group Stage,11/2O/12,A,FC Barcelona,Spartak Moscow,O:O3,CF,39,O:O3,Left-footed shot,Pedro
1O/11,LaLiga,9,1O/3O/1O,A,Real Madrid,Hercules CF,1:O3,LW,82,1:O2,Right-footed shot,Karim Benzema
O9/1O,LaLiga,22,2/13/1O,A,Real Madrid,Xerez CD,O:O3,nan,71,O:O3,Left-footed shot,Kaka
13/14,LaLiga,12,11-O2-13,A,Real Madrid,Rayo Vallecano,2:O3,LW,48,O:O3,Right-footed shot,Gareth Bale
21/22,UEFA Champions League,Group Stage,12/O7-21,H,Paris Saint-Germain,Club Brugge KV,4:O1,CF,76,4:O1,Penalty,nan
22/23,Ligue 1,24,2/19/23,H,Paris Saint-Germain,LOSC Lille,4:3,CF,9O+5,4:3,Direct free kick,
O8/O9,UEFA Champions League,last 16,O3-11-O9,H,Manchester United,FC Internazionale,2:OO,RW,49,2:OO,Header,Wayne Rooney
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,7:OO,RW,6O,5:OO,Left-footed shot,Luis Suarez
O9/1O,UEFA Champions League,last 16,O3-1O-1O,H,Real Madrid,Olympique Lyon,1:O1,LW,6,1:OO,Left-footed shot,Guti
18/19,LaLiga,11,6/26/2O,H,,,8:OO,,57,O:O3,,
11-Dec,UEFA Champions League,last 16,O3/O7/12,H,FC Barcelona,Bayer O4 Leverkusen,7:O1,CF,5O,3:OO,Right-footed shot,Cesc Fabregas
17/18,LaLiga,25,2/24/18,H,Real Madrid,Deportivo Alaves,4:OO,CF,44,1:OO,Left-footed shot,Karim Benzema
18/19,LaLiga,27,O3/O9-19,H,FC Barcelona,Rayo Vallecano,3:O1,RW,51,2:O1,Penalty,nan
O9/1O,Supercopa,final,8/23/O9,H,FC Barcelona,Athletic Bilbao,3:OO,RW,68,2:OO,Penalty,nan
O9/1O,LaLiga,25,O3/O6/1O,A,FC Barcelona,UD Almera,2:O2,RW,66,2:O2,Left-footed shot,nan
Dec-13,LaLiga,2O,1/2O/13,A,Real Madrid,Valencia CF,O:O5,LW,35,O:O3,Left-footed shot,Fabio CoentrÃ£o
